Number One,Number Two,Their GCD,Time Spent (Milliseconds)
749432,380281,1,2.80473
217595,756166,1,1.5749
848876,67268,4,0.430682
8833,564128,1,0.05681
4972,570155,1,0.032306
276438,949780,2,1.83495
228041,267153,1,1.49839
407169,893214,63,2.6369
389317,887733,1,2.81314
761711,759067,1,4.96735
6988,55620,4,0.044909
249486,373658,2,1.61581
287018,724894,2,1.85395
263632,196178,2,1.26754
851800,29465,5,0.21254
971116,428374,2,2.68781
584537,471811,1,3.57678
455589,510015,3,2.99737
758136,192681,3,1.28044
680024,277979,1,1.81425
507214,607008,2,3.32613
